frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.174
1,0.0667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.339
2,0.1333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.94
3,0.2,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.206
4,0.2667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.288
5,0.3333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.057
6,0.4,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.331
7,0.4667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.018
8,0.5333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.558
9,0.6,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.989
10,0.6667,Twilight 19:00,real-world,3.0,1,0.13659,1.20324,4.58749,2.58749,0.13659,0.20324,-1.98303,-0.07611,-0.01145,268.5,46.752
11,0.7333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.593
12,0.8,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.403
13,0.8667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.197
14,0.9333,Twilight 19:00,real-world,3.0,1,-0.12421,-0.02858,1.37191,-0.62809,-0.12421,-1.02858,2.60328,0.10007,0.74807,14858.0,49.782
15,1.0,Twilight 19:00,real-world,3.0,1,-0.1654,0.00232,1.77276,-0.22724,-0.1654,-0.99768,3.26818,0.05291,0.49222,10714.5,51.509
16,1.0667,Twilight 19:00,real-world,3.0,1,-0.16269,0.00719,1.8155,-0.1845,-0.16269,-0.99281,2.93209,-0.0502,-0.1205,10203.0,51.522
17,1.1333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.714
18,1.2,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.043
19,1.2667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4
20,1.3333,Twilight 19:00,real-world,3.0,1,-0.09737,0.04233,2.00917,0.00917,-0.09737,-0.95767,2.9731,-0.03943,-0.09096,8467.0,52.665
21,1.4,Twilight 19:00,real-world,3.0,1,-0.08091,0.03991,2.03878,0.03878,-0.08091,-0.96009,3.01597,-0.02589,-0.1471,8236.5,53.036
22,1.4667,Twilight 19:00,real-world,3.0,1,-0.06499,0.03445,2.07275,0.07275,-0.06499,-0.96555,3.12718,-0.05385,-0.14858,8019.0,53.333
23,1.5333,Twilight 19:00,real-world,3.0,1,-0.05294,0.02364,2.09438,0.09438,-0.05294,-0.97636,3.1364,-0.07664,-0.22201,7805.5,53.553
24,1.6,Twilight 19:00,real-world,3.0,1,-0.04333,0.01895,2.11712,0.11712,-0.04333,-0.98105,3.04639,-0.0609,0.33287,7580.0,53.852
25,1.6667,Twilight 19:00,real-world,3.0,1,-0.03778,0.02349,2.17091,0.17091,-0.03778,-0.97651,3.04557,-0.07797,-0.1627,7285.5,53.969
26,1.7333,Twilight 19:00,real-world,3.0,1,-0.03257,0.03173,2.19093,0.19093,-0.03257,-0.96827,3.11436,-0.11323,-0.28638,7091.0,54.087
