frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.805
1,0.0667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.101
2,0.1333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.577
3,0.2,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.133
4,0.2667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897
5,0.3333,Midnight 00:00,real-world,0.1,1,-0.07704,0.00949,1.22889,-0.77111,-0.07704,-0.99051,-3.0181,0.54017,-0.9192,20029.5,6.809
6,0.4,Midnight 00:00,real-world,0.1,1,-0.07901,0.00462,1.26793,-0.73207,-0.07901,-0.99538,2.99084,-0.43818,0.87552,19035.5,6.673
7,0.4667,Midnight 00:00,real-world,0.1,1,-0.07948,-0.00617,1.31362,-0.68638,-0.07948,-1.00617,3.04795,-0.39854,0.8044,18170.5,6.569
8,0.5333,Midnight 00:00,real-world,0.1,1,-0.08141,-0.01862,1.36415,-0.63585,-0.08141,-1.01862,3.08452,-0.3884,0.77801,16988.0,6.508
9,0.6,Midnight 00:00,real-world,0.1,1,-0.07765,-0.02966,1.40442,-0.59558,-0.07765,-1.02966,3.09707,-0.35593,0.76007,16077.5,6.36
10,0.6667,Midnight 00:00,real-world,0.1,1,-0.07297,-0.03712,1.45306,-0.54694,-0.07297,-1.03712,3.14083,-0.30758,0.68557,15292.0,6.239
11,0.7333,Midnight 00:00,real-world,0.1,1,-0.06449,-0.03764,1.49207,-0.50793,-0.06449,-1.03764,3.16387,-0.24128,0.61256,14709.5,6.148
12,0.8,Midnight 00:00,real-world,0.1,1,-0.05779,-0.03908,1.53997,-0.46003,-0.05779,-1.03908,3.13381,-0.16561,0.55722,13941.0,6.118
13,0.8667,Midnight 00:00,real-world,0.1,1,-0.04793,-0.04181,1.58866,-0.41134,-0.04793,-1.04181,3.10304,-0.14572,0.51829,13150.5,6.033
