frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
1,0.0335,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
2,0.067,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
3,0.1006,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
4,0.1341,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
5,0.1676,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
6,0.2011,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
7,0.2346,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
8,0.2682,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
9,0.3017,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
10,0.3352,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
11,0.3687,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
12,0.4022,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
13,0.4358,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
14,0.4693,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
15,0.5028,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
16,0.5363,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
17,0.5698,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
18,0.6034,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
19,0.6369,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
20,0.6704,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
21,0.7039,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
22,0.7374,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
23,0.7709,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
24,0.8045,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
25,0.838,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
26,0.8715,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
27,0.905,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
28,0.9385,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
29,0.9721,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
30,1.0056,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
31,1.0391,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
32,1.0726,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
33,1.1061,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
34,1.1397,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
35,1.1732,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
36,1.2067,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
37,1.2402,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
38,1.2737,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
39,1.3073,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
40,1.3408,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
41,1.3743,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
42,1.4078,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
43,1.4413,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
44,1.4749,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
45,1.5084,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
46,1.5419,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
47,1.5754,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
48,1.6089,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
49,1.6425,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
50,1.676,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
51,1.7095,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
52,1.743,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
53,1.7765,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
54,1.8101,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
55,1.8436,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
56,1.8771,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
57,1.9106,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
58,1.9441,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
59,1.9777,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
60,2.0112,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
61,2.0447,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
62,2.0782,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
63,2.1117,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
64,2.1453,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
65,2.1788,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
66,2.2123,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
67,2.2458,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
68,2.2793,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
69,2.3128,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
70,2.3464,Twilight 19:00,3.0,1,0.01601,0.01615,2.65233,0.65233,0.01601,-0.98385,3.19229,-0.00026,-0.00607,625.0,47.461
71,2.3799,Twilight 19:00,3.0,1,0.008,0.01615,2.65229,0.65229,0.008,-0.98385,3.19252,-0.00013,-0.00304,625.0,47.481
72,2.4134,Twilight 19:00,3.0,1,-0.00495,0.016,2.66415,0.66415,-0.00495,-0.984,3.11008,-0.00121,-0.40115,600.0,47.555
73,2.4469,Twilight 19:00,3.0,1,-0.02102,0.016,2.66404,0.66404,-0.02102,-0.984,3.11133,-0.00121,-0.39235,600.0,47.543
74,2.4804,Twilight 19:00,3.0,1,-0.03201,0.01614,2.65246,0.65246,-0.03201,-0.98386,3.19133,0.00052,0.01206,625.0,47.491
75,2.514,Twilight 19:00,3.0,1,-0.04512,0.016,2.66388,0.66388,-0.04512,-0.984,3.11312,-0.00121,-0.37953,600.0,47.564
76,2.5475,Twilight 19:00,3.0,1,-0.05603,0.01613,2.65282,0.65282,-0.05603,-0.98387,3.18865,0.00086,0.02074,625.0,47.491
77,2.581,Twilight 19:00,3.0,1,-0.07205,0.01613,2.65316,0.65316,-0.07205,-0.98387,3.18596,0.00104,0.02618,625.0,47.533
78,2.6145,Twilight 19:00,3.0,1,-0.08529,0.016,2.66363,0.66363,-0.08529,-0.984,3.11585,-0.00121,-0.35921,600.0,47.554
79,2.648,Twilight 19:00,3.0,1,-0.0961,0.01611,2.65381,0.65381,-0.0961,-0.98389,3.18041,0.00122,0.0336,625.0,47.48
80,2.6816,Twilight 19:00,3.0,1,-0.10939,0.016,2.66348,0.66348,-0.10939,-0.984,3.11735,-0.00121,-0.34762,600.0,47.549
81,2.7151,Twilight 19:00,3.0,1,-0.12016,0.01609,2.65459,0.65459,-0.12016,-0.98391,3.17287,0.00125,0.0398,625.0,47.523
82,2.7486,Twilight 19:00,3.0,1,-0.13622,0.01607,2.65513,0.65513,-0.13622,-0.98393,3.16694,0.00117,0.04318,625.0,47.498
83,2.7821,Twilight 19:00,3.0,1,-0.14956,0.016,2.66324,0.66324,-0.14956,-0.984,3.11965,-0.0012,-0.3293,600.0,47.554
84,2.8156,Twilight 19:00,3.0,1,-0.16031,0.01604,2.65588,0.65588,-0.16031,-0.98396,3.15831,0.00096,0.04723,625.0,47.479
85,2.8492,Twilight 19:00,3.0,1,-0.17366,0.016,2.6631,0.6631,-0.17366,-0.984,3.12091,-0.00119,-0.31889,600.0,47.546
86,2.8827,Twilight 19:00,3.0,1,-0.18972,0.016,2.66301,0.66301,-0.18972,-0.984,3.12171,-0.00118,-0.31219,600.0,47.55
87,2.9162,Twilight 19:00,3.0,1,-0.20048,0.01601,2.65686,0.65686,-0.20048,-0.98399,3.14957,0.00065,0.05156,625.0,47.476
88,2.9497,Twilight 19:00,3.0,1,-0.21382,0.016,2.66288,0.66288,-0.21382,-0.984,3.12284,-0.00117,-0.30247,600.0,47.557
89,2.9832,Twilight 19:00,3.0,1,-0.22459,0.01601,2.65734,0.65734,-0.22459,-0.98399,3.14705,0.00055,0.0525,625.0,47.505
90,3.0168,Twilight 19:00,3.0,1,-0.24066,0.016,2.65762,0.65762,-0.24066,-0.984,3.14595,0.0005,0.05247,625.0,47.52
91,3.0503,Twilight 19:00,3.0,1,-0.25397,0.016,2.66267,0.66267,-0.25397,-0.984,3.12457,-0.00116,-0.28715,600.0,47.547
92,3.0838,Twilight 19:00,3.0,1,-0.26478,0.016,2.65799,0.65799,-0.26478,-0.984,3.14482,0.00044,0.05161,625.0,47.462
93,3.1173,Twilight 19:00,3.0,1,-0.27806,0.016,2.66255,0.66255,-0.27806,-0.984,3.12551,-0.00115,-0.27847,600.0,47.537
94,3.1508,Twilight 19:00,3.0,1,-0.2889,0.016,2.65829,0.65829,-0.2889,-0.984,3.14408,0.0004,0.05007,625.0,47.526
95,3.1844,Twilight 19:00,3.0,1,-0.30498,0.016,2.65846,0.65846,-0.30498,-0.984,3.14372,0.00037,0.04881,625.0,47.491
