frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
1,0.0335,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
2,0.067,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
3,0.1006,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
4,0.1341,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
5,0.1676,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
6,0.2011,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
7,0.2346,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
8,0.2682,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
9,0.3017,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
10,0.3352,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
11,0.3687,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
12,0.4022,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
13,0.4358,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
14,0.4693,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
15,0.5028,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
16,0.5363,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
17,0.5698,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
18,0.6034,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
19,0.6369,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
20,0.6704,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
21,0.7039,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
22,0.7374,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
23,0.7709,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
24,0.8045,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
25,0.838,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
26,0.8715,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
27,0.905,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
28,0.9385,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
29,0.9721,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
30,1.0056,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
31,1.0391,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
32,1.0726,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
33,1.1061,Evening 21:00,simulation,0.3,1,-0.04402,0.00872,2.61308,0.61308,-0.04402,-0.99128,3.46615,0.00483,0.02844,625.0,11.985
34,1.1397,Evening 21:00,simulation,0.3,1,-0.05002,0.00848,2.72108,0.72108,-0.05002,-0.99152,3.30702,0.00255,0.0276,600.0,12.009
35,1.1732,Evening 21:00,simulation,0.3,1,-0.0667,0.00847,2.72144,0.72144,-0.0667,-0.99153,3.30616,0.00339,0.03676,600.0,12.013
36,1.2067,Evening 21:00,simulation,0.3,1,-0.09173,0.00847,2.72216,0.72216,-0.09173,-0.99153,3.30439,0.00461,0.05043,600.0,12.015
37,1.2402,Evening 21:00,simulation,0.3,1,-0.09173,0.00847,2.72216,0.72216,-0.09173,-0.99153,3.30439,0.00461,0.05043,600.0,12.015
38,1.2737,Evening 21:00,simulation,0.3,1,-0.11615,0.00872,2.61527,0.61527,-0.11615,-0.99128,3.46292,0.01261,0.07485,625.0,12.005
39,1.3073,Evening 21:00,simulation,0.3,1,-0.11615,0.00872,2.61527,0.61527,-0.11615,-0.99128,3.46292,0.01261,0.07485,625.0,12.005
40,1.3408,Evening 21:00,simulation,0.3,1,-0.11615,0.00872,2.61527,0.61527,-0.11615,-0.99128,3.46292,0.01261,0.07485,625.0,12.005
41,1.3743,Evening 21:00,simulation,0.3,1,-0.13352,0.00846,2.72387,0.72387,-0.13352,-0.99154,3.30014,0.00654,0.07295,600.0,12.015
42,1.4078,Evening 21:00,simulation,0.3,1,-0.14024,0.00872,2.61643,0.61643,-0.14024,-0.99128,3.46119,0.01515,0.09025,625.0,11.989
43,1.4413,Evening 21:00,simulation,0.3,1,-0.17539,0.00845,2.72621,0.72621,-0.17539,-0.99155,3.29419,0.00828,0.09498,600.0,12.009
44,1.4749,Evening 21:00,simulation,0.3,1,-0.17539,0.00845,2.72621,0.72621,-0.17539,-0.99155,3.29419,0.00828,0.09498,600.0,12.009
45,1.5084,Evening 21:00,simulation,0.3,1,-0.18048,0.00871,2.61887,0.61887,-0.18048,-0.99129,3.45757,0.01928,0.11581,625.0,11.99
46,1.5419,Evening 21:00,simulation,0.3,1,-0.20058,0.00844,2.72792,0.72792,-0.20058,-0.99156,3.28974,0.0092,0.10785,600.0,12.013
47,1.5754,Evening 21:00,simulation,0.3,1,-0.20058,0.00844,2.72792,0.72792,-0.20058,-0.99156,3.28974,0.0092,0.10785,600.0,12.013
48,1.6089,Evening 21:00,simulation,0.3,1,-0.20468,0.00871,2.62062,0.62062,-0.20468,-0.99129,3.45496,0.02169,0.13106,625.0,11.994
49,1.6425,Evening 21:00,simulation,0.3,1,-0.22581,0.00843,2.72985,0.72985,-0.22581,-0.99157,3.28457,0.01001,0.12039,600.0,12.006
