frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.045
1,0.0334,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
2,0.0669,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
3,0.1003,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
4,0.1337,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
5,0.1671,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
6,0.2006,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
7,0.234,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
8,0.2674,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
9,0.3008,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.047
10,0.3343,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.045
11,0.3677,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
12,0.4011,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
13,0.4345,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
14,0.468,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
15,0.5014,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
16,0.5348,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
17,0.5682,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
18,0.6017,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
19,0.6351,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
20,0.6685,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
21,0.7019,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
22,0.7354,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
23,0.7688,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
24,0.8022,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
25,0.8357,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
26,0.8691,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
27,0.9025,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
28,0.9359,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
29,0.9694,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
30,1.0028,Midnight 00:00,simulation,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
31,1.0362,Midnight 00:00,simulation,0.1,1,0.02472,0.004,2.59201,0.59201,0.02472,-0.996,3.09722,0.00041,0.51735,600.0,5.058
32,1.0696,Midnight 00:00,simulation,0.1,1,0.01247,0.004,2.59147,0.59147,0.01247,-0.996,3.12656,0.00023,0.29222,625.0,5.059
33,1.1031,Midnight 00:00,simulation,0.1,1,-0.0,0.00412,2.66952,0.66952,-0.0,-0.99588,3.14012,-0.0,-0.0,600.0,5.072
34,1.1365,Midnight 00:00,simulation,0.1,1,-0.01247,0.004,2.59147,0.59147,-0.01247,-0.996,3.12656,-0.00023,-0.29222,625.0,5.056
35,1.1699,Midnight 00:00,simulation,0.1,1,-0.02472,0.004,2.59201,0.59201,-0.02472,-0.996,3.09722,-0.00041,-0.51735,600.0,5.071
36,1.2033,Midnight 00:00,simulation,0.1,1,-0.03608,0.00429,2.58493,0.58493,-0.03608,-0.99571,-3.02848,-0.01605,-0.45303,612.5,5.066
37,1.2368,Midnight 00:00,simulation,0.1,1,-0.05163,0.004,2.59114,0.59114,-0.05163,-0.996,3.12849,-0.00023,-0.27193,625.0,5.057
38,1.2702,Midnight 00:00,simulation,0.1,1,-0.06389,0.004,2.59178,0.59178,-0.06389,-0.996,3.10083,-0.00041,-0.49564,600.0,5.073
39,1.3036,Midnight 00:00,simulation,0.1,1,-0.07513,0.004,2.59095,0.59095,-0.07513,-0.996,3.12952,-0.00023,-0.26058,625.0,5.059
40,1.337,Midnight 00:00,simulation,0.1,1,-0.08856,0.00227,2.6308,0.6308,-0.08856,-0.99773,-3.04726,-0.01731,0.41681,588.0,5.07
41,1.3705,Midnight 00:00,simulation,0.1,1,-0.10306,0.004,2.59156,0.59156,-0.10306,-0.996,3.10414,-0.00041,-0.47491,600.0,5.074
42,1.4039,Midnight 00:00,simulation,0.1,1,-0.11428,0.004,2.59064,0.59064,-0.11428,-0.996,3.13104,-0.00023,-0.24297,625.0,5.053
43,1.4373,Midnight 00:00,simulation,0.1,1,-0.12656,0.004,2.59143,0.59143,-0.12656,-0.996,3.10599,-0.00041,-0.46294,600.0,5.076
44,1.4708,Midnight 00:00,simulation,0.1,1,-0.13777,0.004,2.59046,0.59046,-0.13777,-0.996,3.13184,-0.00023,-0.23315,625.0,5.066
45,1.5042,Midnight 00:00,simulation,0.1,1,-0.15006,0.004,2.5913,0.5913,-0.15006,-0.996,3.10774,-0.00041,-0.45131,600.0,5.059
46,1.5376,Midnight 00:00,simulation,0.1,1,-0.16572,0.004,2.59121,0.59121,-0.16572,-0.996,3.10885,-0.00041,-0.44374,600.0,5.073
47,1.571,Midnight 00:00,simulation,0.1,1,-0.17692,0.004,2.59019,0.59019,-0.17692,-0.996,3.13303,-0.00022,-0.21795,625.0,5.049
48,1.6045,Midnight 00:00,simulation,0.1,1,-0.18922,0.004,2.59109,0.59109,-0.18922,-0.996,3.11045,-0.0004,-0.43268,600.0,5.067
49,1.6379,Midnight 00:00,simulation,0.1,1,-0.20488,0.004,2.59101,0.59101,-0.20488,-0.996,3.11147,-0.0004,-0.42549,600.0,5.067
50,1.6713,Midnight 00:00,simulation,0.1,1,-0.21607,0.004,2.58994,0.58994,-0.21607,-0.996,3.13405,-0.00022,-0.20411,625.0,5.051
51,1.7047,Midnight 00:00,simulation,0.1,1,-0.22837,0.004,2.59089,0.59089,-0.22837,-0.996,3.11292,-0.0004,-0.41499,600.0,5.071
52,1.7382,Midnight 00:00,simulation,0.1,1,-0.23955,0.004,2.58979,0.58979,-0.23955,-0.996,3.13459,-0.00021,-0.1964,625.0,5.057
53,1.7716,Midnight 00:00,simulation,0.1,1,-0.25297,0.00428,2.5839,0.5839,-0.25297,-0.99572,-3.04991,0.00948,0.31198,612.5,5.062
54,1.805,Midnight 00:00,simulation,0.1,1,-0.2787,0.004,2.58958,0.58958,-0.2787,-0.996,3.13539,-0.00021,-0.18448,625.0,5.049
55,1.8384,Midnight 00:00,simulation,0.1,1,-0.29101,0.004,2.59059,0.59059,-0.29101,-0.996,3.11643,-0.00039,-0.38854,600.0,5.068
56,1.8719,Midnight 00:00,simulation,0.1,1,-0.30667,0.004,2.59051,0.59051,-0.30667,-0.996,3.11722,-0.00039,-0.38227,600.0,5.063
57,1.9053,Midnight 00:00,simulation,0.1,1,-0.31784,0.004,2.58938,0.58938,-0.31784,-0.996,3.13608,-0.0002,-0.17363,625.0,5.054
58,1.9387,Midnight 00:00,simulation,0.1,1,-0.33016,0.004,2.59041,0.59041,-0.33016,-0.996,3.11837,-0.00039,-0.37312,600.0,5.069
59,1.9721,Midnight 00:00,simulation,0.1,1,-0.33016,0.004,2.59041,0.59041,-0.33016,-0.996,3.11837,-0.00039,-0.37312,600.0,5.069
60,2.0056,Midnight 00:00,simulation,0.1,1,-0.35365,0.004,2.59031,0.59031,-0.35365,-0.996,3.11944,-0.00039,-0.36427,600.0,5.062
61,2.039,Midnight 00:00,simulation,0.1,1,-0.35365,0.004,2.59031,0.59031,-0.35365,-0.996,3.11944,-0.00039,-0.36427,600.0,5.062
62,2.0724,Midnight 00:00,simulation,0.1,1,-0.37802,0.00426,2.58406,0.58406,-0.37802,-0.99574,-3.05864,0.00716,0.2681,612.5,5.048
63,2.1058,Midnight 00:00,simulation,0.1,1,-0.38046,0.004,2.5891,0.5891,-0.38046,-0.996,3.13699,-0.00019,-0.1582,625.0,5.048
64,2.1393,Midnight 00:00,simulation,0.1,1,-0.40394,0.004,2.58901,0.58901,-0.40394,-0.996,3.13728,-0.00019,-0.15297,625.0,5.057
65,2.1727,Midnight 00:00,simulation,0.1,1,-0.40394,0.004,2.58901,0.58901,-0.40394,-0.996,3.13728,-0.00019,-0.15297,625.0,5.057
66,2.2061,Midnight 00:00,simulation,0.1,1,-0.41628,0.004,2.59005,0.59005,-0.41628,-0.996,3.12204,-0.00038,-0.34204,600.0,5.057
